James Augustine,0,3.5,0.333,0.5,1.5,0,0,0,0,1.5,0.5,1,1,0,0,0,1,1,2,0,16.6,0.168,0
Al Thornton,31,27.3,0.429,4.7,11,0.5,1.6,2.7,3.6,4.5,1.2,3.3,1.2,0.6,0.5,1.6,2.5,12.7,23,56,12.7,0.025,0
Jeff Green,52,28.2,0.427,4,9.4,0.3,1,2.2,3,4.7,1.3,3.5,1.5,0.6,0.6,2,2.5,10.5,19,61,9.8,0.003,0
Mike Conley Jr.,46,26.1,0.428,3.6,8.3,0.6,1.7,1.7,2.3,2.6,0.4,2.2,4.2,0.8,0,1.7,1.6,9.4,14,39,12.6,0.038,0
Daequan Cook,19,24.4,0.381,3.3,8.7,1.3,4,0.8,1,3,0.3,2.7,1.3,0.4,0.2,1.1,2.7,8.8,9,50,7.9,-0.013,0
Yi Jianlian,49,25,0.421,3.3,7.9,0.1,0.3,1.8,2.2,5.2,1.6,3.6,0.8,0.5,0.8,1.4,2.3,8.6,24,42,11.3,0.022,0
Thaddeus Young,22,21,0.539,3.6,6.6,0.1,0.3,1,1.4,4.2,1.6,2.6,0.8,1,0.1,0.9,1.7,8.2,38,36,16.5,0.14,0
Carl Landry,0,16.9,0.616,3.2,5.2,0,0,1.7,2.6,4.9,2.3,2.6,0.5,0.4,0.2,0.6,2.3,8.1,32,10,21.4,0.251,0
Ramon Sessions,7,26.5,0.436,3,6.9,0.2,0.4,1.9,2.4,3.4,0.5,2.9,7.5,1,0.2,2.1,1.5,8.1,2,15,16.2,0.077,0
Rodney Stuckey,2,19,0.401,2.7,6.7,0.1,0.3,2.2,2.7,2.3,0.6,1.7,2.8,0.9,0.1,1.4,2,7.6,41,16,13.8,0.09,0
Nick Young,2,15.4,0.439,2.8,6.4,0.5,1.3,1.3,1.7,1.5,0.3,1.2,0.8,0.5,0.1,1.3,1.7,7.5,36,39,11.6,0.017,0
Wilson Chandler,16,19.6,0.438,3,6.9,0.3,0.9,1,1.5,3.6,1.1,2.5,0.9,0.4,0.5,0.8,2.4,7.3,8,27,11.7,0.038,0
Corey Brewer,35,22.8,0.374,2.3,6.2,0.1,0.5,1.1,1.4,3.7,1,2.7,1.4,1,0.3,1.1,2.4,5.8,21,58,8.3,-0.005,0
Jared Dudley,14,19,0.468,2.2,4.8,0.1,0.6,1.2,1.6,3.9,1.7,2.3,1.1,0.8,0.1,0.7,1.8,5.8,29,44,13.6,0.1,0
Shawne Williams,29,17.5,0.538,2.2,4.2,0,0,1.1,1.8,4.4,1.6,2.8,0.4,0.4,1.5,1,2.6,5.6,28,45,12.8,0.069,0
Javaris Crittenton,0,13.6,0.421,2,4.7,0.2,0.7,1.4,2.1,2.2,0.5,1.7,1,0.4,0,1.1,0.9,5.6,25,25,11,0.004,0
Stéphane Lasme,4,18.9,0.451,2,4.4,0,0,1.2,2,3.3,1.6,1.7,0.2,0.8,1.4,0.9,2.2,5.2,3,13,11.7,0.041,0
Aaron Brooks,0,11.9,0.413,1.8,4.4,0.7,2.1,0.8,1,1.1,0.3,0.8,1.7,0.3,0.1,0.9,1.4,5.2,36,15,13.1,0.112,0
Spencer Hawes,8,13.1,0.459,2.1,4.5,0.1,0.3,0.5,0.8,3.2,1,2.3,0.6,0.2,0.6,0.8,1.8,4.7,33,38,11.6,0.033,0
Glen Davis,1,13.6,0.484,1.6,3.2,0,0,1.4,2.2,3,1.4,1.6,0.4,0.4,0.3,0.9,2.3,4.5,56,13,11.3,0.128,0
Jason Smith,1,14.6,0.455,1.9,4.1,0.1,0.2,0.7,1.1,3,1,2,0.3,0.3,0.7,0.6,1.9,4.5,38,38,10.7,0.067,0
Aaron Gray,1,10,0.505,1.7,3.3,0,0,0.9,1.6,2.8,1.1,1.6,0.7,0.3,0.3,0.9,1.9,4.3,23,38,13.9,0.006,0
Acie Law,6,15.4,0.401,1.7,4.2,0.1,0.6,0.7,0.9,1,0.2,0.8,2,0.5,0,1,1.3,4.2,25,31,7.7,-0.007,0
Nick Fazekas,0,10.3,0.561,1.8,3.2,0,0.1,0.6,0.8,3.4,1.3,2.1,0.4,0.3,0.4,0.5,1,4.1,5,21,19.6,0.148,0
Brandan Wright,6,9.9,0.554,1.6,2.9,0,0,0.7,1.1,2.6,1,1.6,0.2,0.2,0.6,0.3,0.9,4,22,16,17.2,0.142,0
Julian Wright,1,11.2,0.533,1.6,3,0.2,0.4,0.6,0.9,2.1,0.6,1.5,0.7,0.5,0.2,0.6,0.8,3.9,39,18,15.4,0.126,0
Arron Afflalo,9,12.9,0.411,1.3,3.2,0.1,0.6,0.9,1.2,1.8,0.5,1.3,0.7,0.4,0.1,0.5,1.1,3.7,55,20,10.2,0.092,0
Alando Tucker,0,8,0.364,1.3,3.7,0.2,0.7,0.8,1,1.3,0.7,0.7,0,0,0.2,0,0.3,3.7,6,0,11.8,0.042,0
Jermareo Davidson,2,8.5,0.408,1.3,3.3,0,0,0.5,0.7,1.6,0.6,1.1,0.3,0.2,0.4,0.4,1.2,3.2,12,26,9.8,-0.012,0
Marco Belinelli,0,7.3,0.387,1.1,2.8,0.5,1.2,0.2,0.3,0.4,0.1,0.3,0.5,0.2,0,0.4,0.5,2.9,15,18,8.2,-0.002,0
D.J. Strawberry,0,8.2,0.315,0.9,2.8,0.2,0.8,0.3,0.6,0.8,0.3,0.6,0.9,0.4,0.2,0.3,1.1,2.2,23,10,6.2,-0.031,0
Gabe Pruitt,0,6.3,0.359,0.9,2.6,0.2,0.8,0.1,0.1,0.5,0.1,0.5,0.9,0.3,0,0.3,0.7,2.1,13,2,8.3,0.028,0
Chris Richard,3,10.7,0.471,0.8,1.7,0,0,0.3,0.5,2.6,1,1.6,0.3,0.2,0.2,0.5,1.6,1.9,14,38,7.9,0.037,0
Taurean Green,0,4.4,0.28,0.4,1.5,0.1,0.6,0.6,0.7,0.6,0,0.6,0.6,0.1,0,0.5,0.3,1.6,8,9,7,-0.066,0
Kyrylo Fesenko,0,7.8,0.375,0.7,1.8,0,0,0.2,0.4,2.8,1.6,1.2,0.2,0,0.3,0.9,2.1,1.6,4,5,4,-0.031,0
